,Epoch,TrainingLoss,ValidationLoss,ValidationDiceLoss,AUC_ROC,AUC_PR,TrainingTime
0,0.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
1,1.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
2,2.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
3,3.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
4,4.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
5,5.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
6,6.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
7,7.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
8,8.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
9,9.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
10,10.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
11,11.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
12,12.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
13,13.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
14,14.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
15,15.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
16,16.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
17,17.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
18,18.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
19,19.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
20,20.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
21,21.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
22,22.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
23,23.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
24,24.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
25,25.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
26,26.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
27,27.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
28,28.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
29,29.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
30,30.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
31,31.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
32,32.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
33,33.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
34,34.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
35,35.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
36,36.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
37,37.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
38,38.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
39,39.0,1.7917594909667969,1.7917594909667969,0.5555555820465088,0.5,0.0833333358168602,
40,0.0,0.0,1.7917594909667969,0.0,0.0,0.0,0.0
